case_id,scenario,expected,coverage_status,evidence_or_candidate,gap_or_next,platform_baseline,python_baseline,review_date
P03,同 commandId 改 action/参数,PROTOCOL_ERROR(COMMAND_ID_CONFLICT)；apply 不增加，原命令结果不改变,PASS,RUNNER-APPLY-PAUSE-VERIFICATION-20260922.md; evidence/apply-count-20260922/,同commandId分别修改action与parameters均COMMAND_ID_CONFLICT，查询原SUCCEEDED回执不变，适配器无额外调用。,ae46345 + coverage-only working changes,2fe4d1e + local P14 fix,2026-09-22
P04,未知 ID 使用旧/跳跃 commandSequence,SEQUENCE_MISMATCH；不推进 lastCommandSequence,PASS,RunnerProtocolTest.test_old_and_skipped_sequences_do_not_advance_command_sequence; evidence/additional-boundaries-20260922/,真实子进程拒绝未知 ID 的旧序号 1 和跳号 3，随后合法序号 2 成功，stateVersion 仅正常推进一次。,ae46345 + local acceptance tests,2fe4d1e runner + local protocol tests,2026-09-22
P05,合法序号但业务状态不合法，再发下一个序号,首条 REJECTED 且消费序号；下一合法命令正常，不堵队列,PASS,RunnerProtocolTest.test_business_rejection_consumes_sequence_and_next_command_succeeds；evidence/additional-cases-20260922/python.log,真实 Python 子进程：PAUSE 被业务拒绝、原回执重放一致、旧序号拒绝、下一序号 START 成功。,ae46345 + local acceptance tests,2fe4d1e runner + local protocol test,2026-09-22
P06,expectedStateVersion 已落后,STATE_VERSION_MISMATCH；不执行过期动作,PASS,RUNNER-APPLY-PAUSE-VERIFICATION-20260922.md; evidence/apply-count-20260922/,当前版本1时旧版本0的PAUSE拒绝且RUNNING/1不变，适配器无额外调用；结合真实子进程旧版本测试。,ae46345 + local acceptance tests,2fe4d1e + local P14 fix,2026-09-22
P07,非法 JSON、未知 action、额外参数、适配器业务异常,不返回成功；无效业务动作不杀进程；合法后续动作可继续,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/python-protocol.log; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/adapter-before-fix.log; python-after-fix.log; java-final.log,本轮指定范围通过，测试层级与限制见补验报告。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
P08,Java 接收 commandResult 而非 stateChanged,只有关联回执可结算；stateChanged 单独不完成 execution,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#stateChangedFrameAndHttpReceiptNeverProveSuccess,帧/心跳状态变化不结算 execution；只读展示证据不能替代关联算法回执。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
P09,错 runtimeRef/代次/来源进程、未知 commandId,隔离事件；当前执行和运行状态均不改变,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/java-real-faults.log; TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#lateAcceptedNeverRollsBackSuccess; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; old-result-correlation.log：runtimeRef/代次/来源进程/未知command四边界不改执行或运行状态,按关联报告界定的分支和层级验收通过。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
P10,重复 eventSequence；同序号不同内容,重复无新事件；冲突记协议错误，不覆盖可信状态,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#conflictingDuplicateDoesNotOverwriteSuccessfulResult; java-real-faults.log,重复迟到回执去重；同 eventSequence 不同内容不覆盖成功，通道进入保护状态。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
P11,SUCCEEDED 后收到旧 ACCEPTED；旧代次迟到 SUCCEEDED,不回退终态；旧执行可对账但新代次不变,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/java-real-faults.log; TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#lateAcceptedNeverRollsBackSuccess; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; old-result-correlation.log：真实旧成功回执只补旧execution，旧ACCEPTED不回退，新运行快照不变,按关联报告界定的分支和层级验收通过。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
P12,PAUSE 后没有新 frame,状态回执足以成功；lastFrameSequence 保留25，无无限等待,PASS,RUNNER-APPLY-PAUSE-VERIFICATION-20260922.md; evidence/apply-count-20260922/,真实Runner PAUSE成功后连续6次心跳均PAUSED/2、lastFrameSequence不变，期间零frame，随后STOP正常退出0。,1c429da / runtime 6cb02b3,2fe4d1e + local P14 fix,2026-09-22
P13,STOP 最终回执后进程退出；回执前 EOF,前者成功且清理；后者未知/失败证据处理，不预设成功,PASS,EXACT-CRASH-STOP-CLEANUP-20260922.md; evidence/exact-crash-20260922/; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; stop-cleanup-before/after.json + stop-cleanup-after.log：可控退出窗口重现清理杀进程1，修复后0；六项含四动作、EOF两窗口、死锁、未知清理通过,按关联报告界定的分支和层级验收通过。,ae46345 + local backend tests + P17 source from 2fe4d1e,2fe4d1e; tested SHA256 b3db7e3dba77f9e219ce302ad24f5d9e598975e97e9806da3a947fd6608b21bd,2026-09-22
P14,自然 COMPLETED/FAILED 后发送 RESUME,拒绝；不调用适配器 set_mission_active,PASS,P14-UNITY-FIX-20260922.md; evidence/p14-unity-fix-20260922/,已修复自然 COMPLETED/FAILED 的运行状态与版本，并立即发送终态心跳；确定性适配器注入两个终态通过，RESUME 拒绝、不再激活适配器；Python 12/12、Java 真实 Runner 7/7。,ae46345 + local acceptance/frontend changes,2fe4d1e + local P14 fix SHA256 0D2A436C,2026-09-22
P15,result 中 affectedDeviceCodes 与计划不同,协议异常，不结算成功；不扩大为全部设备,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceDeviceMembershipTests.xml; TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#mismatchedMembersCannotSettleExecution,空回执成员/不匹配成员均不结算成功，不扩大设备集合；规范 deviceCode 正例通过。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
P16,连续3个超大/身份违规行、普通 stdout 日志,有界内存，通道不可用；普通日志不当执行事件,PASS,VoiceControlTests.boundedLineReaderDrainsOversizedLine; threeInvalidEnvelopesMakeChannelReadOnlyWithoutChangingState; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; stdout-boundary.log：真实管道连续三条超256KiB/错身份/普通日志，均保护通道，零执行,本轮验收范围通过，见报告中的层级及限制。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
P17,缓存10000命令后新命令；重复旧命令,新命令 CAPACITY_EXCEEDED，旧命令仍可查，无去重淘汰,PASS,P17-BACKEND-REGRESSION-20260922.md; evidence/p17-backend-2fe4d1e-20260922/local-runner-capacity.json; python-tests.log; initial-TEST-VoiceCoverageGapTests.xml,已核对远端 2fe4d1e 与附件源码（仅 CRLF 差异）；原指定脚本本机通过，Python 8/8、Java 定向 9/9。容量错误不会结算成功或自动重发。P13 非零退出观察独立保留。,ae46345 + local backend tests + P17 source from 2fe4d1e,2fe4d1e; tested SHA256 b3db7e3dba77f9e219ce302ad24f5d9e598975e97e9806da3a947fd6608b21bd,2026-09-22
P18,STATUS_QUERY 查询已知/未知/退出实例,只读；不消费 commandSequence、不调用 apply；UNKNOWN 不重发,PASS,VoiceControlTests.queryUnknownNeverResendsAndMaxThreeQueries; RUNNER-FAULTS-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; python-query-cli.log + old-result-correlation.log：真实已知/未知查询与退出后不查询，不重发；旧执行只合法补账,按关联报告界定的分支和层级验收通过。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
P19,PAUSED 心跳持续与 worker 真正死锁,暂停在线；不能让独立心跳掩盖无法应用动作,PASS,RUNNER-FAULTS-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/worker-deadlock.log,本轮指定范围通过，测试层级与限制见补验报告。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
P20,Result 与 QueryReply 内层关联 ID 不一致,语义校验拒绝；Schema 正确也不等于可信关联,PASS,QUERY-CORRELATION-PLAN-HASH-20260922.md; evidence/query-correlation-20260922/java-final.log,生产Dispatcher+H2：内层commandId/runtimeRef/generation、外层queryId/commandId五种不匹配全部保护通道，保持UNKNOWN/原运行状态、零回执落库、无重发；合法内外关联可恢复成功。结合既有真实STATUS_QUERY回归。,ae46345 + local acceptance tests,062aadd,2026-09-22
F01,确认事务提交前异常,proposal/execution/outbox 原子回滚；零管道写入,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#transactionFailureRollsBackProposalExecutionAndOutbox,确认事务内制造数据库异常：提案仍待确认，execution/outbox 全回滚。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
F02,确认已提交，worker 还未领取,只有 READY，可按未发送状态复检后发送一次,PASS,VoiceCoverageGapTests#committedReadyOutboxIsSentOnceAfterDeferredClaim；evidence/additional-cases-20260922/java.log,独立 H2：确认提交后 READY/QUEUED、零发送；替换 worker 后重复 tick 仅发送一次。未模拟操作系统崩溃。,ae46345 + local acceptance tests,2fe4d1e runner + local protocol test,2026-09-22
F03,SENDING 持久化后、write前崩溃,UNCERTAIN；不自动重发；即使实际零写入也按不确定处理,PASS,EXACT-CRASH-STOP-CLEANUP-20260922.md; evidence/exact-crash-20260922/,真实子JVM在生产Dispatcher SENDING事务提交后、测试sender内write前/真实管道flush后halt，文件H2重开后UNCERTAIN/UNKNOWN且不重发；after_flush观察到真实Runner成功。非部署MySQL断电测试；sender测试包装器，生产发送逻辑未改。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
F04,flush后、SENT提交前崩溃,不重复发送，查询或保持未知；apply至多1,PASS,EXACT-CRASH-STOP-CLEANUP-20260922.md; evidence/exact-crash-20260922/,真实子JVM在生产Dispatcher SENDING事务提交后、测试sender内write前/真实管道flush后halt，文件H2重开后UNCERTAIN/UNKNOWN且不重发；after_flush观察到真实Runner成功。非部署MySQL断电测试；sender测试包装器，生产发送逻辑未改。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
F05,回执已到但落库失败,暂停新发送，恢复后查询/补账；不可报持久化成功,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#receiptPersistenceFailureIsBufferedAndReconciled; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/storage-reconciliation.log,本轮指定范围通过，测试层级与限制见补验报告。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
F06,ACK 5秒/结果15秒边界，模拟快终态无单独ACK,正确超时或结算；最终结果可满足接收要求,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#exactCommandTimeoutBoundary/presentationFrameBounds,固定单调钟 ACK 4999/5000 ms、结果 14999/15000 ms；可信最终回执可无单独 ACK 完成，迟到仍保留 timedOutAt。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
F07,超时后迟到可信终态,保留 timedOutAt，更新最终结果，不触发第二次命令,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/java-real-faults.log; TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#timeoutRemainsUnknownOccupiedAndLateSuccessReconciles,真实查询恢复和 service 迟到结算均保留超时事实、只写 1 次算法命令。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
F08,后端重启/管道所有权丢失,原代次LOST；旧未确认失效；已发送保持未知，不重放到新进程,PASS,REAL-FAULT-RESTART-BROWSER-20260922.md; evidence/real-fault-restart-20260922/http-restart.json,真实 MySQL + Java PID 25004→17624：真实 Runner ACCEPTED 后扣留 SUCCEEDED，终止后端并重启；恢复 TIMED_OUT/UNKNOWN、LOST，轨迹仅1条COMMAND，未重发。结合原分阶段恢复测试；不等同F03/F04精确write/flush窗口。,ae46345 + local acceptance/frontend changes,2fe4d1e + local P14 fix,2026-09-22
F09,outbox READY 10秒未领取,INVALIDATED、DISPATCH_DEADLINE_EXCEEDED；零写入,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#queueExpiryDoesNotSendOrConsumeCommandSequence,固定时钟队列恰好 10 秒过期：DISPATCH_DEADLINE_EXCEEDED，零写入、不消费命令序号。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
F10,执行处于不确定状态时清理任务运行,审计/去重记录保留；不能因TTL删掉唯一约束依据,PASS,EXACT-CRASH-STOP-CLEANUP-20260922.md; evidence/exact-crash-20260922/fault-manager-cleanup.json; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; business-cleanup.log + 既有manager-cleanup/7天老化：真实业务服务软删除保留未知执行及幂等/出站记录。未实现专用TTL清理，不宣称执行过不存在的定时任务,按关联报告界定的分支和层级验收通过。,ae46345 + local acceptance tests,2fe4d1e + local P14 fix,2026-09-22
F11,单实例两个 worker 同时领取,数据库条件更新只允许一个领取者；无重复写入,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#twoWorkersOnlyClaimOneOutbox,同实例两个不同 Dispatcher 屏障并发领取，1 outbox、1 次写入；H2 事务测试。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
F12,worker发送前撤权/换代/成员变化,INVALIDATED；撤权后不因已确认绕过鉴权,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/TEST-com.uavusv.platform.module.voicecontrol.VoiceCoverageGapTests.xml#dispatchRechecksChangedIdentityAndMembership/revocationRejectsCachedConfirmationAndNewWrites,发送前撤权、换代、成员变化分别使执行 INVALIDATED，零管道写入。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
C01,功能关闭，运行旧手动算法接口,原路径可用，接口字段和旧枚举保持兼容,PASS,团队既有兼容回归反馈; HTTP-EVIDENCE-20260922.md; evidence/auth-feature-20260922/legacy-disabled-http.json：关闭模式真实HTTP四动作、扩展字段为null/空能力、语音写503、零voice_execution,本机隔离环境最终版本验证通过。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
C02,v1实例通过旧手动按钮发动作,适配到同一命令队列；不混入无ID命令,PASS,evidence/http-runner-20260922.json; evidence/http-readonly-20260922.tsv,真实旧手动HTTP入口进入MANUAL提案/执行与同一调度器，有ID及回执关联。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
C03,API 202 QUEUED 返回前端,显示已受理/等待执行，不能显示完成,PASS,前端恢复实现及成员四汇总记录; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; evidence/auth-feature-20260922/accepted-browser/browser-accepted.json,本轮指定范围通过，测试层级与限制见补验报告。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
C04,算法SUCCEEDED但Unity断开/报告过期,分别显示执行生效与画面未同步,PASS,P14-UNITY-FIX-20260922.md; evidence/p14-unity-fix-20260922/,保留既有断报超时证据，并新增两轮真实 iframe 断连验证，页面同时显示算法 SUCCESS 与 Unity 展示已过期。,ae46345 + local acceptance/frontend changes,2fe4d1e + local P14 fix SHA256 0D2A436C,2026-09-22
C05,换页面/刷新/iframe实例改变后迟到画面报告,不影响新上下文；不将显示报告当算法执行结果,PASS,REMAINING-CASE-ACCEPTANCE-20260922.md; evidence/coverage-gaps-20260922/browser-injection.json; http-gaps.json; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; iframe-browser + page-return-browser：真实重载及切换总览返回，新会话拒绝旧报告；结合既有刷新恢复,按关联报告界定的分支和层级验收通过。,ae46345 + coverage-only working changes,3e37759 runner SHA256 c5a20269 (unchanged),2026-09-22
C06,两套Unity消息、算法原frame恢复流程,既有位姿/坐标/帧序号兼容，无第二套重复驱动,PASS,HANDOFF-20260922.md; HTTP-EVIDENCE-20260922.md; INTEGRATED-DUAL-ACCOUNT-ACCEPTANCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; dual-protocol-pose-check.json + frontend-final.log：真实legacy位姿回执与P0报告帧关联、Transform匹配且零未知设备；坐标转换和重放回归通过,按关联报告界定的分支和层级验收通过。,77d8955 (3e37759 + local fixes),3e37759 unchanged runner,2026-09-22
C07,旧任务、设备控制与登录回归,原有权限不被语音入口弱化，现有手动路径通过回归,PASS,团队既有兼容回归反馈; HTTP-EVIDENCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; legacy-regression.log：62项旧任务/设备/登录数据/控制安全回归，结合已归档真实登录及HTTP四动作,本轮验收范围通过，见报告中的层级及限制。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
C08,日志/错误/fixture检索,无API密钥、数据库密码、Cookie或用户原始音频,PASS,HTTP-EVIDENCE-20260922.md; AUTH-FEATURE-BROWSER-VERIFICATION-20260922.md; secret-scan.json：781个可交付文本扫描实际本机秘密值、会话Cookie和私钥特征，无命中；不包含忽略的本地配置或二进制归档,本轮验收范围通过，见报告中的层级及限制。,1c429da / runtime 6cb02b3,062aadd,2026-09-22
